陕西电信-组播1,#genre#
商洛综合,http://117.39.37.194:4022/udp/239.109.205.66:8464
商洛综合,http://117.39.37.194:4022/udp/239.109.205.69:8488
商洛综合,http://117.39.37.194:4022/udp/239.112.205.189:5140$陕西电信
宝鸡综合,http://117.39.37.194:4022/udp/239.112.205.143:5140$陕西电信
宝鸡综合,http://117.39.37.194:4022/udp/239.112.205.147:5140$陕西电信
宝鸡公共,http://117.39.37.194:4022/udp/239.112.205.144:5140$陕西电信
宝鸡公共,http://117.39.37.194:4022/udp/239.112.205.148:5140$陕西电信
宝鸡千阳,http://117.39.37.194:4022/udp/239.111.205.250:5140$陕西电信
宝鸡太白,http://117.39.37.194:4022/udp/239.111.205.251:5140$陕西电信
宝鸡岐山,http://117.39.37.194:4022/udp/239.111.205.90:5140$陕西电信
宝鸡扶风,http://117.39.37.194:4022/udp/239.111.205.80:5140$陕西电信
宝鸡眉县,http://117.39.37.194:4022/udp/239.111.205.81:5140$陕西电信
宝鸡陇县,http://117.39.37.194:4022/udp/239.111.205.252:5140$陕西电信
宝鸡麟游,http://117.39.37.194:4022/udp/239.111.205.31:5140$陕西电信
汉中佛坪,http://117.39.37.194:4022/udp/239.112.205.229:5140$陕西电信
汉中城固,http://117.39.37.194:4022/udp/239.111.205.79:5140$陕西电信
汉中宁强,http://117.39.37.194:4022/udp/239.111.205.18:5140$陕西电信
汉中洋县,http://117.39.37.194:4022/udp/239.111.205.77:5140$陕西电信
汉中留坝,http://117.39.37.194:4022/udp/239.110.205.54:9942
汉中留坝,http://117.39.37.194:4022/udp/239.112.205.240:5140$陕西电信
汉中西乡,http://117.39.37.194:4022/udp/239.111.205.17:5140$陕西电信
汉中镇巴,http://117.39.37.194:4022/udp/239.112.205.231:5140$陕西电信
榆林综合,http://117.39.37.194:4022/udp/239.110.205.42:9882
榆林综合,http://117.39.37.194:4022/udp/239.112.205.177:5140$陕西电信
安康综合,http://117.39.37.194:4022/udp/239.112.205.216:5140$陕西电信
安康岚皋,http://117.39.37.194:4022/udp/239.111.205.248:5140$陕西电信
安康紫阳,http://117.39.37.194:4022/udp/239.109.205.74:8528
安康紫阳,http://117.39.37.194:4022/udp/239.112.205.220:5140$陕西电信
JYTV,http://117.39.37.194:4022/udp/239.111.205.107:5140$陕西电信
待确认,http://117.39.37.194:4022/udp/239.110.205.52:9934
未识别,http://117.39.37.194:4022/udp/239.111.205.245:5140$陕西电信
未识别,http://117.39.37.194:4022/udp/239.111.205.56:5140$陕西电信
CETV1,http://117.39.37.194:4022/udp/239.112.205.201:5140$陕西电信
CETV1,http://117.39.37.194:4022/udp/239.109.205.67:8472
CETV1,http://117.39.37.194:4022/udp/239.109.205.78:8560
CETV4,http://117.39.37.194:4022/udp/239.111.205.15:5140$陕西电信
CETV4,http://117.39.37.194:4022/udp/239.109.205.64:8448
CGTN,http://117.39.37.194:4022/udp/239.110.205.78:7964
CGTN,http://117.39.37.194:4022/udp/239.111.205.32:5140$陕西电信
CGTN纪录,http://117.39.37.194:4022/udp/239.111.205.85:5140$陕西电信
CGTN阿语,http://117.39.37.194:4022/udp/239.111.205.86:5140$陕西电信
CGTN俄语,http://117.39.37.194:4022/udp/239.111.205.87:5140$陕西电信
CGTN西语,http://117.39.37.194:4022/udp/239.111.205.33:5140$陕西电信
CGTN西语,http://117.39.37.194:4022/udp/239.110.205.79:7960
CGTN法语,http://117.39.37.194:4022/udp/239.111.205.34:5140$陕西电信
CGTN法语,http://117.39.37.194:4022/udp/239.110.205.80:7956
金鹰纪实,http://117.39.37.194:4022/udp/239.109.205.59:8408
金鹰纪实,http://117.39.37.194:4022/udp/239.112.205.203:5140$陕西电信
环球奇观,http://117.39.37.194:4022/udp/239.110.205.86:7932
新动漫,http://117.39.37.194:4022/udp/239.110.205.87:7928
中国交通,http://117.39.37.194:4022/udp/239.111.205.54:5140$陕西电信
重庆卫视,http://117.39.37.194:4022/udp/239.112.205.179:5140$陕西电信
重庆卫视,http://117.39.37.194:4022/udp/239.109.205.70:8496
江苏卫视,http://117.39.37.194:4022/udp/239.112.205.63:5140$陕西电信
江苏卫视,http://117.39.37.194:4022/udp/239.109.205.119:8368
浙江卫视,http://117.39.37.194:4022/udp/239.109.205.120:8896
浙江卫视,http://117.39.37.194:4022/udp/239.112.205.64:5140$陕西电信
东方卫视,http://117.39.37.194:4022/udp/239.112.205.61:5140$陕西电信
东方卫视,http://117.39.37.194:4022/udp/239.109.205.121:8904
深圳卫视,http://117.39.37.194:4022/udp/239.109.205.189:9602
深圳卫视,http://117.39.37.194:4022/udp/239.109.205.163:9002
深圳卫视,http://117.39.37.194:4022/udp/239.112.205.67:5140$陕西电信
北京卫视,http://117.39.37.194:4022/udp/239.112.205.65:5140$陕西电信
北京卫视,http://117.39.37.194:4022/udp/239.109.205.162:8898
山东卫视,http://117.39.37.194:4022/udp/239.112.205.70:5140$陕西电信
山东卫视,http://117.39.37.194:4022/udp/239.109.205.191:9606
天津卫视,http://117.39.37.194:4022/udp/239.110.205.23:9838
天津卫视,http://117.39.37.194:4022/udp/239.112.205.74:5140$陕西电信
贵州卫视,http://117.39.37.194:4022/udp/239.109.205.139:9024
贵州卫视,http://117.39.37.194:4022/udp/239.112.205.178:5140$陕西电信
四川卫视,http://117.39.37.194:4022/udp/239.112.205.184:5140$陕西电信
四川卫视,http://117.39.37.194:4022/udp/239.110.205.18:9818
云南卫视,http://117.39.37.194:4022/udp/239.111.205.106:5140$陕西电信
云南卫视,http://117.39.37.194:4022/udp/239.109.205.215:9216
广西卫视,http://117.39.37.194:4022/udp/239.111.205.14:5140$陕西电信
黑龙江卫视,http://117.39.37.194:4022/udp/239.109.205.190:9604
黑龙江卫视,http://117.39.37.194:4022/udp/239.112.205.68:5140$陕西电信
安徽卫视,http://117.39.37.194:4022/udp/239.110.205.11:9790
安徽卫视,http://117.39.37.194:4022/udp/239.112.205.72:5140$陕西电信
山西卫视,http://117.39.37.194:4022/udp/239.111.205.39:5140$陕西电信
江西卫视,http://117.39.37.194:4022/udp/239.111.205.16:5140$陕西电信
江西卫视,http://117.39.37.194:4022/udp/239.109.205.96:8704
湖北卫视,http://117.39.37.194:4022/udp/239.109.205.165:9006
湖北卫视,http://117.39.37.194:4022/udp/239.112.205.69:5140$陕西电信
陕西卫视,http://117.39.37.194:4022/udp/239.111.205.35:5140$陕西电信
东南卫视,http://117.39.37.194:4022/udp/239.109.205.177:9626
东南卫视,http://117.39.37.194:4022/udp/239.112.205.182:5140$陕西电信
吉林卫视,http://117.39.37.194:4022/udp/239.109.205.115:8856
吉林卫视,http://117.39.37.194:4022/udp/239.112.205.183:5140$陕西电信
辽宁卫视,http://117.39.37.194:4022/udp/239.110.205.12:9794
辽宁卫视,http://117.39.37.194:4022/udp/239.112.205.73:5140$陕西电信
湖南卫视,http://117.39.37.194:4022/udp/239.112.205.62:5140$陕西电信
广东卫视,http://117.39.37.194:4022/udp/239.109.205.188:9610
广东卫视,http://117.39.37.194:4022/udp/239.112.205.66:5140$陕西电信
河南卫视,http://117.39.37.194:4022/udp/239.109.205.140:9026
河南卫视,http://117.39.37.194:4022/udp/239.112.205.180:5140$陕西电信
河北卫视,http://117.39.37.194:4022/udp/239.112.205.200:5140$陕西电信
河北卫视,http://117.39.37.194:4022/udp/239.109.205.158:9106
宁夏卫视,http://117.39.37.194:4022/udp/239.111.205.61:5140$陕西电信
宁夏卫视,http://117.39.37.194:4022/udp/239.110.205.93:7904
宁夏卫视,http://117.39.37.194:4022/udp/239.110.205.94:7900
甘肃卫视,http://117.39.37.194:4022/udp/239.111.205.88:5140$陕西电信
青海卫视,http://117.39.37.194:4022/udp/239.111.205.105:5140$陕西电信
青海卫视,http://117.39.37.194:4022/udp/239.109.205.77:8552
新疆卫视,http://117.39.37.194:4022/udp/239.111.205.59:5140$陕西电信
新疆卫视,http://117.39.37.194:4022/udp/239.110.205.95:7896
西藏卫视,http://117.39.37.194:4022/udp/239.111.205.58:5140$陕西电信
兵团卫视,http://117.39.37.194:4022/udp/239.110.205.92:7908
兵团卫视,http://117.39.37.194:4022/udp/239.111.205.60:5140$陕西电信
北京纪实科教,http://117.39.37.194:4022/udp/239.111.205.55:5140$陕西电信
欢笑剧场,http://117.39.37.194:4022/udp/239.109.205.51:8344
欢笑剧场,http://117.39.37.194:4022/udp/239.112.205.236:5140$陕西电信
IPTV3,http://117.39.37.194:4022/udp/239.109.205.197:9650
IPTV5,http://117.39.37.194:4022/udp/239.109.205.211:9184
IPTV6,http://117.39.37.194:4022/udp/239.109.205.198:9654
IPTV8,http://117.39.37.194:4022/udp/239.109.205.199:9658
IPTV相声小品,http://117.39.37.194:4022/udp/239.109.205.212:9192
爱生活,http://117.39.37.194:4022/udp/239.110.205.55:9946
爱生活,http://117.39.37.194:4022/udp/239.112.205.234:5140$陕西电信
高网,http://117.39.37.194:4022/udp/239.110.205.16:9810
足球,http://117.39.37.194:4022/udp/239.110.205.25:9846
足球,http://117.39.37.194:4022/udp/239.112.205.127:5140$陕西电信
FXTV,http://117.39.37.194:4022/udp/239.111.205.244:5140$陕西电信
IPTV3＋,http://117.39.37.194:4022/udp/239.112.205.116:5140$陕西电信
IPTV6＋,http://117.39.37.194:4022/udp/239.112.205.118:5140$陕西电信
IPTV8＋,http://117.39.37.194:4022/udp/239.112.205.119:5140$陕西电信
农林卫视,http://117.39.37.194:4022/udp/239.110.205.88:7924
农林卫视,http://117.39.37.194:4022/udp/239.112.205.26:5140$陕西电信
电影,http://117.39.37.194:4022/udp/239.112.205.90:5140$陕西电信
百事直播,http://117.39.37.194:4022/udp/239.111.205.20:5140$陕西电信
百事直播,http://117.39.37.194:4022/udp/239.111.205.21:5140$陕西电信
百事直播,http://117.39.37.194:4022/udp/239.111.205.23:5140$陕西电信
百事直播,http://117.39.37.194:4022/udp/239.111.205.25:5140$陕西电信
百事直播,http://117.39.37.194:4022/udp/239.111.205.43:5140$陕西电信
百事通直播,http://117.39.37.194:4022/udp/239.109.205.170:9612
百事通直播,http://117.39.37.194:4022/udp/239.109.205.171:9614
百事通直播,http://117.39.37.194:4022/udp/239.109.205.172:9616
百事通直播,http://117.39.37.194:4022/udp/239.109.205.173:9618
百事通直播,http://117.39.37.194:4022/udp/239.109.205.174:9620
百事通直播,http://117.39.37.194:4022/udp/239.109.205.175:9622
百事通直播,http://117.39.37.194:4022/udp/239.109.205.176:9624
百事通直播,http://117.39.37.194:4022/udp/239.109.205.219:9714
百事通直播,http://117.39.37.194:4022/udp/239.109.205.220:9718
百事通直播,http://117.39.37.194:4022/udp/239.109.205.221:9722
百事通直播,http://117.39.37.194:4022/udp/239.111.205.22:5140$陕西电信
百事通直播,http://117.39.37.194:4022/udp/239.111.205.24:5140$陕西电信
百事通直播,http://117.39.37.194:4022/udp/239.111.205.26:5140$陕西电信
百事通直播,http://117.39.37.194:4022/udp/239.111.205.44:5140$陕西电信
百事通直播,http://117.39.37.194:4022/udp/239.111.205.45:5140$陕西电信
足球频道,http://117.39.37.194:4022/udp/239.110.205.89:7920
CCTV1,http://117.39.37.194:4022/udp/239.111.205.9:5140$陕西电信
CCTV1,http://117.39.37.194:4022/udp/239.111.205.89:5140$陕西电信
CCTV1,http://117.39.37.194:4022/udp/239.109.205.9:8000
CCTV2,http://117.39.37.194:4022/udp/239.109.205.10:8008
CCTV2,http://117.39.37.194:4022/udp/239.112.205.2:5140$陕西电信
CCTV3,http://117.39.37.194:4022/udp/239.109.205.73:8520
CCTV3,http://117.39.37.194:4022/udp/239.112.205.225:5140$陕西电信
CCTV4,http://117.39.37.194:4022/udp/239.109.205.11:8016
CCTV4,http://117.39.37.194:4022/udp/239.112.205.4:5140$陕西电信
CCTV5,http://117.39.37.194:4022/udp/239.112.205.226:5140$陕西电信
CCTV6,http://117.39.37.194:4022/udp/239.109.205.83:8600
CCTV6,http://117.39.37.194:4022/udp/239.112.205.227:5140$陕西电信
CCTV7,http://117.39.37.194:4022/udp/239.109.205.12:8024
CCTV7,http://117.39.37.194:4022/udp/239.112.205.7:5140$陕西电信
CCTV8,http://117.39.37.194:4022/udp/239.112.205.228:5140$陕西电信
CCTV8,http://117.39.37.194:4022/udp/239.109.205.141:9028
CCTV9,http://117.39.37.194:4022/udp/239.112.205.9:5140$陕西电信
CCTV9,http://117.39.37.194:4022/udp/239.110.205.1:9750
CCTV10,http://117.39.37.194:4022/udp/239.109.205.14:8040
CCTV10,http://117.39.37.194:4022/udp/239.112.205.10:5140$陕西电信
CCTV11,http://117.39.37.194:4022/udp/239.112.205.11:5140$陕西电信
CCTV11,http://117.39.37.194:4022/udp/239.109.205.15:8048
CCTV12,http://117.39.37.194:4022/udp/239.112.205.12:5140$陕西电信
CCTV12,http://117.39.37.194:4022/udp/239.109.205.16:8056
CCTV13,http://117.39.37.194:4022/udp/239.112.205.13:5140$陕西电信
CCTV13,http://117.39.37.194:4022/udp/239.109.205.17:8064
CCTV14,http://117.39.37.194:4022/udp/239.109.205.18:8072
CCTV14,http://117.39.37.194:4022/udp/239.112.205.15:5140$陕西电信
CCTV15,http://117.39.37.194:4022/udp/239.112.205.16:5140$陕西电信
CCTV15,http://117.39.37.194:4022/udp/239.109.205.19:8080
CCTV17,http://117.39.37.194:4022/udp/239.112.205.210:5140$陕西电信
CCTV17,http://117.39.37.194:4022/udp/239.109.205.81:8584
陕西新闻资讯,http://117.39.37.194:4022/udp/239.109.205.2:9120
陕西新闻资讯,http://117.39.37.194:4022/udp/239.112.205.18:5140$陕西电信
陕西都市,http://117.39.37.194:4022/udp/239.109.205.3:9128
陕西都市,http://117.39.37.194:4022/udp/239.112.205.19:5140$陕西电信
陕西秦腔,http://117.39.37.194:4022/udp/239.109.205.6:9152
陕西秦腔,http://117.39.37.194:4022/udp/239.112.205.22:5140$陕西电信
陕西西部电影,http://117.39.37.194:4022/udp/239.109.205.217:9706
陕西西部电影,http://117.39.37.194:4022/udp/239.111.205.41:5140$陕西电信
陕西银龄,http://117.39.37.194:4022/udp/239.109.205.4:9136
陕西银龄,http://117.39.37.194:4022/udp/239.112.205.20:5140$陕西电信
陕西体育休闲,http://117.39.37.194:4022/udp/239.112.205.24:5140$陕西电信
陕西体育休闲,http://117.39.37.194:4022/udp/239.109.205.8:9168
陕西乐家购物,http://117.39.37.194:4022/udp/239.109.205.7:9160
陕西乐家购物,http://117.39.37.194:4022/udp/239.112.205.23:5140$陕西电信
西安综合,http://117.39.37.194:4022/udp/239.109.205.130:8976
西安综合,http://117.39.37.194:4022/udp/239.111.205.242:5140$陕西电信
西安都市,http://117.39.37.194:4022/udp/239.109.205.131:8984
西安都市,http://117.39.37.194:4022/udp/239.111.205.243:5140$陕西电信
西安戏剧影视,http://117.39.37.194:4022/udp/239.110.205.39:9862
西安戏剧影视,http://117.39.37.194:4022/udp/239.112.205.175:5140$陕西电信
西安丝路,http://117.39.37.194:4022/udp/239.110.205.40:9866
西安丝路,http://117.39.37.194:4022/udp/239.112.205.176:5140$陕西电信
西安商务资讯,http://117.39.37.194:4022/udp/239.110.205.38:9858
西安商务资讯,http://117.39.37.194:4022/udp/239.112.205.174:5140$陕西电信
西安教育,http://117.39.37.194:4022/udp/239.110.205.24:9842
西安教育,http://117.39.37.194:4022/udp/239.112.205.142:5140$陕西电信
渭南华州,http://117.39.37.194:4022/udp/239.109.205.93:8680
渭南华州,http://117.39.37.194:4022/udp/239.112.205.192:5140$陕西电信
渭南华阴,http://117.39.37.194:4022/udp/239.109.205.63:8440
渭南华阴,http://117.39.37.194:4022/udp/239.112.205.193:5140$陕西电信
渭南富平,http://117.39.37.194:4022/udp/239.109.205.71:8504
渭南富平,http://117.39.37.194:4022/udp/239.112.205.188:5140$陕西电信
渭南澄城,http://117.39.37.194:4022/udp/239.109.205.76:8544
渭南澄城,http://117.39.37.194:4022/udp/239.112.205.191:5140$陕西电信
渭南白水,http://117.39.37.194:4022/udp/239.109.205.87:8632
渭南白水,http://117.39.37.194:4022/udp/239.112.205.219:5140$陕西电信
渭南韩城,http://117.39.37.194:4022/udp/239.109.205.72:8512
渭南韩城,http://117.39.37.194:4022/udp/239.112.205.166:5140$陕西电信
咸阳兴平,http://117.39.37.194:4022/udp/239.112.205.168:5140$陕西电信
咸阳彬州,http://117.39.37.194:4022/udp/239.112.205.181:5140$陕西电信
咸阳彬洲,http://117.39.37.194:4022/udp/239.110.205.49:9922
咸阳淳化,http://117.39.37.194:4022/udp/239.111.205.97:5140$陕西电信
铜川综合,http://117.39.37.194:4022/udp/239.109.205.194:9638
铜川综合,http://117.39.37.194:4022/udp/239.111.205.29:5140$陕西电信
汉中综合,http://117.39.37.194:4022/udp/239.112.205.215:5140$陕西电信
汉中勉县,http://117.39.37.194:4022/udp/239.110.205.53:9938
汉中勉县,http://117.39.37.194:4022/udp/239.112.205.239:5140$陕西电信
汉中南郑,http://117.39.37.194:4022/udp/239.110.205.82:7948
汉中略阳,http://117.39.37.194:4022/udp/239.110.205.50:9926
汉中略阳,http://117.39.37.194:4022/udp/239.112.205.235:5140$陕西电信
安康石泉,http://117.39.37.194:4022/udp/239.110.205.41:9874
安康石泉,http://117.39.37.194:4022/udp/239.111.205.57:5140$陕西电信
延安综合,http://117.39.37.194:4022/udp/239.112.205.169:5140$陕西电信
杨凌,http://117.39.37.194:4022/udp/239.111.205.253:5140$陕西电信
待确认,http://117.39.37.194:4022/udp/239.111.205.12:5140$陕西电信
待确认,http://117.39.37.194:4022/udp/239.111.205.91:5140$陕西电信
未识别,http://117.39.37.194:4022/udp/239.111.205.8:5140$陕西电信
CETV1,http://117.39.37.194:4022/udp/239.112.205.137:5140$陕西电信
CETV1,http://117.39.37.194:4022/udp/239.109.205.47:8312
CETV2,http://117.39.37.194:4022/udp/239.109.205.48:8320
CETV2,http://117.39.37.194:4022/udp/239.111.205.168:5140$陕西电信
CETV4,http://117.39.37.194:4022/udp/239.111.205.169:5140$陕西电信
CETV4,http://117.39.37.194:4022/udp/239.109.205.49:8328
CGTN,http://117.39.37.194:4022/udp/239.112.205.14:5140$陕西电信
CGTN,http://117.39.37.194:4022/udp/239.109.205.13:8032
法治天地,http://117.39.37.194:4022/udp/239.111.205.178:5140$陕西电信
法治天地,http://117.39.37.194:4022/udp/239.109.205.57:8392
游戏风云,http://117.39.37.194:4022/udp/239.109.205.62:8432
游戏风云,http://117.39.37.194:4022/udp/239.111.205.183:5140$陕西电信
金色学堂,http://117.39.37.194:4022/udp/239.109.205.65:8456
金色学堂,http://117.39.37.194:4022/udp/239.111.205.186:5140$陕西电信
生活时尚,http://117.39.37.194:4022/udp/239.111.205.176:5140$陕西电信
生活时尚,http://117.39.37.194:4022/udp/239.109.205.55:8376
乐游,http://117.39.37.194:4022/udp/239.109.205.56:8384
乐游,http://117.39.37.194:4022/udp/239.111.205.177:5140$陕西电信
重庆卫视,http://117.39.37.194:4022/udp/239.109.205.30:8168
重庆卫视,http://117.39.37.194:4022/udp/239.112.205.40:5140$陕西电信
江苏卫视,http://117.39.37.194:4022/udp/239.112.205.30:5140$陕西电信
江苏卫视,http://117.39.37.194:4022/udp/239.109.205.22:8104
浙江卫视,http://117.39.37.194:4022/udp/239.112.205.31:5140$陕西电信
浙江卫视,http://117.39.37.194:4022/udp/239.109.205.23:8112
东方卫视,http://117.39.37.194:4022/udp/239.112.205.28:5140$陕西电信
东方卫视,http://117.39.37.194:4022/udp/239.109.205.21:8096
深圳卫视,http://117.39.37.194:4022/udp/239.112.205.34:5140$陕西电信
深圳卫视,http://117.39.37.194:4022/udp/239.109.205.43:8280
北京卫视,http://117.39.37.194:4022/udp/239.109.205.20:8088
北京卫视,http://117.39.37.194:4022/udp/239.112.205.32:5140$陕西电信
山东卫视,http://117.39.37.194:4022/udp/239.112.205.37:5140$陕西电信
山东卫视,http://117.39.37.194:4022/udp/239.109.205.25:8128
天津卫视,http://117.39.37.194:4022/udp/239.109.205.33:8192
天津卫视,http://117.39.37.194:4022/udp/239.112.205.41:5140$陕西电信
贵州卫视,http://117.39.37.194:4022/udp/239.109.205.40:8248
贵州卫视,http://117.39.37.194:4022/udp/239.112.205.47:5140$陕西电信
四川卫视,http://117.39.37.194:4022/udp/239.112.205.38:5140$陕西电信
四川卫视,http://117.39.37.194:4022/udp/239.109.205.31:8176
云南卫视,http://117.39.37.194:4022/udp/239.110.205.15:9806
云南卫视,http://117.39.37.194:4022/udp/239.112.205.58:5140$陕西电信
广西卫视,http://117.39.37.194:4022/udp/239.112.205.51:5140$陕西电信
广西卫视,http://117.39.37.194:4022/udp/239.109.205.39:8240
黑龙江卫视,http://117.39.37.194:4022/udp/239.109.205.36:8216
黑龙江卫视,http://117.39.37.194:4022/udp/239.112.205.35:5140$陕西电信
安徽卫视,http://117.39.37.194:4022/udp/239.109.205.24:8120
安徽卫视,http://117.39.37.194:4022/udp/239.112.205.39:5140$陕西电信
山西卫视,http://117.39.37.194:4022/udp/239.112.205.46:5140$陕西电信
山西卫视,http://117.39.37.194:4022/udp/239.109.205.26:8136
江西卫视,http://117.39.37.194:4022/udp/239.109.205.29:8160
