江西电信-组播1,#genre#
CCTV-16奥林匹克,http://220.176.218.232:9000/udp/239.252.220.237:5140$江西电信
CCTV-17农业农村,http://220.176.218.232:9000/udp/239.252.220.192:5140$江西电信
CHC影迷电影,http://220.176.218.232:9000/udp/239.252.219.83:5140$江西电信
CHC家庭影院,http://220.176.218.232:9000/udp/239.252.219.84:5140$江西电信
CHC动作电影,http://220.176.218.232:9000/udp/239.252.219.85:5140$江西电信
CCTV第一剧场,http://220.176.218.232:9000/udp/239.252.219.86:5140$江西电信
CCTV风云剧场,http://220.176.218.232:9000/udp/239.252.219.89:5140$江西电信
CCTV怀旧剧场,http://220.176.218.232:9000/udp/239.252.219.90:5140$江西电信
CCTV央视文化精品,http://220.176.218.232:9000/udp/239.252.219.81:5140$江西电信
CCTV央视台球,http://220.176.218.232:9000/udp/239.252.219.80:5140$江西电信
CCTV风云音乐,http://220.176.218.232:9000/udp/239.252.219.87:5140$江西电信
CCTV女性时尚,http://220.176.218.232:9000/udp/239.252.219.94:5140$江西电信
CCTV高尔夫网球,http://220.176.218.232:9000/udp/239.252.219.95:5140$江西电信
CCTV风云足球,http://220.176.218.232:9000/udp/239.252.219.96:5140$江西电信
CCTV电视指南,http://220.176.218.232:9000/udp/239.252.219.97:5140$江西电信
CCTV世界地理,http://220.176.218.232:9000/udp/239.252.219.93:5140$江西电信
CCTV兵器科技,http://220.176.218.232:9000/udp/239.252.219.98:5140$江西电信
甘肃卫视,http://220.176.218.232:9000/udp/239.252.219.140:5140$江西电信
海南卫视,http://220.176.218.232:9000/udp/239.252.219.178:5140$江西电信
广西卫视,http://220.176.218.232:9000/udp/239.252.219.183:5140$江西电信
云南卫视,http://220.176.218.232:9000/udp/239.252.219.185:5140$江西电信
天津卫视,http://220.176.218.232:9000/udp/239.252.220.61:5140$江西电信
湖南卫视,http://220.176.218.232:9000/udp/239.252.219.201:5140$江西电信
北京卫视,http://220.176.218.232:9000/udp/239.252.219.206:5140$江西电信
湖北卫视,http://220.176.218.232:9000/udp/239.252.219.208:5140$江西电信
浙江卫视,http://220.176.218.232:9000/udp/239.252.219.210:5140$江西电信
黑龙江卫视,http://220.176.218.232:9000/udp/239.252.219.211:5140$江西电信
深圳卫视,http://220.176.218.232:9000/udp/239.252.219.212:5140$江西电信
广东卫视,http://220.176.218.232:9000/udp/239.252.219.213:5140$江西电信
江苏卫视,http://220.176.218.232:9000/udp/239.252.219.214:5140$江西电信
山东卫视,http://220.176.218.232:9000/udp/239.252.219.228:5140$江西电信
东方卫视,http://220.176.218.232:9000/udp/239.252.219.229:5140$江西电信
辽宁卫视,http://220.176.218.232:9000/udp/239.252.220.62:5140$江西电信
东南卫视,http://220.176.218.232:9000/udp/239.252.220.82:5140$江西电信
安徽卫视,http://220.176.218.232:9000/udp/239.252.220.83:5140$江西电信
四川卫视,http://220.176.218.232:9000/udp/239.252.220.93:5140$江西电信
重庆卫视,http://220.176.218.232:9000/udp/239.252.220.94:5140$江西电信
河北卫视,http://220.176.218.232:9000/udp/239.252.220.154:5140$江西电信
吉林卫视,http://220.176.218.232:9000/udp/239.252.220.188:5140$江西电信
贵州卫视,http://220.176.218.232:9000/udp/239.252.220.190:5140$江西电信
