云南电信-组播1,#genre#
北京卫视4K,http://106.59.2.113:55555/udp/239.200.201.209:9008$云南电信
北京卫视4K,http://106.59.2.113:55555/udp/239.200.200.227:9000$云南电信
东方卫视4K,http://106.59.2.113:55555/udp/239.200.201.222:9028$云南电信
广东卫视4K,http://106.59.2.113:55555/udp/239.200.201.213:9012$云南电信
深圳卫视4K,http://106.59.2.113:55555/udp/239.200.201.212:9008$云南电信
湖南卫视4K,http://106.59.2.113:55555/udp/239.200.201.219:9016$云南电信
山东卫视4K,http://106.59.2.113:55555/udp/239.200.201.223:9092$云南电信
四川卫视4K,http://106.59.2.113:55555/udp/239.200.201.224:9096$云南电信
浙江卫视4K,http://106.59.2.113:55555/udp/239.200.201.221:9024$云南电信
江苏卫视4K,http://106.59.2.113:55555/udp/239.200.201.220:9020$云南电信
欢笑剧场4K,http://106.59.2.113:55555/udp/239.200.200.216:8728$云南电信
CCTV16-4K,http://106.59.2.113:55555/udp/239.200.200.194:8780$云南电信
云南4K,http://106.59.2.113:55555/udp/239.200.200.178:8884$云南电信
梨园频道,http://106.59.2.113:55555/udp/239.200.200.101:8048$云南电信
茶频道,http://106.59.2.113:55555/udp/239.200.201.36:8404$云南电信
武术世界,http://106.59.2.113:55555/udp/239.200.200.90:8064$云南电信
金鹰纪实,http://106.59.2.113:55555/udp/239.200.201.126:8840$云南电信
文物宝库,http://106.59.2.113:55555/udp/239.200.200.96:8112$云南电信
快乐垂钓,http://106.59.2.113:55555/udp/239.200.200.103:8400$云南电信
中国交通,http://106.59.2.113:55555/udp/239.200.201.138:8556$云南电信
中国天气,http://106.59.2.113:55555/udp/239.200.200.213:8724$云南电信
重庆卫视,http://106.59.2.113:55555/udp/239.200.200.230:8364$云南电信
江苏卫视,http://106.59.2.113:55555/udp/239.200.200.7:8028$云南电信
浙江卫视,http://106.59.2.113:55555/udp/239.200.200.141:8724$云南电信
东方卫视,http://106.59.2.113:55555/udp/239.200.200.8:8032$云南电信
深圳卫视,http://106.59.2.113:55555/udp/239.200.200.67:8776$云南电信
北京卫视,http://106.59.2.113:55555/udp/239.200.200.5:8024$云南电信
山东卫视,http://106.59.2.113:55555/udp/239.200.200.168:8748$云南电信
天津卫视,http://106.59.2.113:55555/udp/239.200.200.69:1234$云南电信
贵州卫视,http://106.59.2.113:55555/udp/239.200.201.119:8788$云南电信
四川卫视,http://106.59.2.113:55555/udp/239.200.201.137:8796$云南电信
云南卫视,http://106.59.2.113:55555/udp/239.200.200.205:8616$云南电信
云南卫视,http://106.59.2.113:55555/udp/239.200.200.145:8840$云南电信
云南卫视,http://106.59.2.113:55555/udp/239.200.201.141:8872$云南电信
广西卫视,http://106.59.2.113:55555/udp/239.200.200.53:8280$云南电信
黑龙江卫视,http://106.59.2.113:55555/udp/239.200.200.66:8016$云南电信
安徽卫视,http://106.59.2.113:55555/udp/239.200.200.129:8720$云南电信
山西卫视,http://106.59.2.113:55555/udp/239.200.200.56:8292$云南电信
江西卫视,http://106.59.2.113:55555/udp/239.200.201.79:8876$云南电信
湖北卫视,http://106.59.2.113:55555/udp/239.200.200.68:8772$云南电信
旅游卫视,http://106.59.2.113:55555/udp/239.200.201.159:8408$云南电信
陕西卫视,http://106.59.2.113:55555/udp/239.200.200.55:8288$云南电信
东南卫视,http://106.59.2.113:55555/udp/239.200.201.69:8764$云南电信
吉林卫视,http://106.59.2.113:55555/udp/239.200.201.127:8792$云南电信
辽宁卫视,http://106.59.2.113:55555/udp/239.200.200.167:8736$云南电信
湖南卫视,http://106.59.2.113:55555/udp/239.200.200.6:8012$云南电信
广东卫视,http://106.59.2.113:55555/udp/239.200.201.35:8768$云南电信
河南卫视,http://106.59.2.113:55555/udp/239.200.201.158:8412$云南电信
甘肃卫视,http://106.59.2.113:55555/udp/239.200.200.186:8356$云南电信
青海卫视,http://106.59.2.113:55555/udp/239.200.200.58:8300$云南电信
康巴卫视,http://106.59.2.113:55555/udp/239.200.200.166:8128$云南电信
金鹰卡通,http://106.59.2.113:55555/udp/239.200.200.65:8328$云南电信
山东教育卫视,http://106.59.2.113:55555/udp/239.200.201.77:8132$云南电信
凤凰中文,http://106.59.2.113:55555/udp/239.200.200.132:8876$云南电信
凤凰资讯,http://106.59.2.113:55555/udp/239.200.200.133:8880$云南电信
星空卫视,http://106.59.2.113:55555/udp/239.200.200.134:8884$云南电信
北京纪实科教,http://106.59.2.113:55555/udp/239.200.200.147:8728$云南电信
财富天下,http://106.59.2.113:55555/udp/239.200.201.178:8684$云南电信
快乐购,http://106.59.2.113:55555/udp/239.200.201.114:8892$云南电信
channel V,http://106.59.2.113:55555/udp/239.200.200.131:8888$云南电信
临沧2,http://106.59.2.113:55555/udp/239.200.200.139:8904$云南电信
临沧临翔,http://106.59.2.113:55555/udp/239.200.201.24:8486$云南电信
临沧双江,http://106.59.2.113:55555/udp/239.200.201.20:8550$云南电信
临沧永德,http://106.59.2.113:55555/udp/239.200.201.22:8510$云南电信
临沧综合,http://106.59.2.113:55555/udp/239.200.200.140:8900$云南电信
临沧耿马,http://106.59.2.113:55555/udp/239.200.201.18:8542$云南电信
临沧镇康,http://106.59.2.113:55555/udp/239.200.201.21:8526$云南电信
丽江华坪,http://106.59.2.113:55555/udp/239.200.201.201:8421$云南电信
丽江永胜,http://106.59.2.113:55555/udp/239.200.200.157:8416$云南电信
云南丽江综合,http://106.59.2.113:55555/udp/239.200.201.42:8445$云南电信
云南娱乐,http://106.59.2.113:55555/udp/239.200.200.13:8848$云南电信
云南少儿,http://106.59.2.113:55555/udp/239.200.200.32:8864$云南电信
云南康旅,http://106.59.2.113:55555/udp/239.200.200.31:8860$云南电信
云南影视,http://106.59.2.113:55555/udp/239.200.200.15:8856$云南电信
云南怒江,http://106.59.2.113:55555/udp/239.200.201.1:8540$云南电信
云南曲靖1,http://106.59.2.113:55555/udp/239.200.201.52:8060$云南电信
云南曲靖3,http://106.59.2.113:55555/udp/239.200.201.50:8068$云南电信
云南清廉曲靖,http://106.59.2.113:55555/udp/239.200.201.51:8064$云南电信
云南玉溪社会与法,http://106.59.2.113:55555/udp/239.200.201.56:8184$云南电信
云南玉溪综合,http://106.59.2.113:55555/udp/239.200.201.57:8180$云南电信
云南禄丰,http://106.59.2.113:55555/udp/239.200.200.163:8798$云南电信
云南红河1,http://106.59.2.113:55555/udp/239.200.201.40:8516$云南电信
云南都市,http://106.59.2.113:55555/udp/239.200.200.12:8844$云南电信
保山施甸,http://106.59.2.113:55555/udp/239.200.201.83:8278$云南电信
保山隆阳,http://106.59.2.113:55555/udp/239.200.201.94:8258$云南电信
保山龙陵,http://106.59.2.113:55555/udp/239.200.201.55:8270$云南电信
动漫,http://106.59.2.113:55555/udp/239.200.200.75:9000$云南电信
四海钓鱼,http://106.59.2.113:55555/udp/239.200.201.171:8636$云南电信
大理云龙,http://106.59.2.113:55555/udp/239.200.200.162:8336$云南电信
大理剑川,http://106.59.2.113:55555/udp/239.200.201.115:8390$云南电信
大理南涧,http://106.59.2.113:55555/udp/239.200.200.159:8398$云南电信
大理宾川,http://106.59.2.113:55555/udp/239.200.201.107:8350$云南电信
大理巍山,http://106.59.2.113:55555/udp/239.200.201.147:8508$云南电信
大理市电视,http://106.59.2.113:55555/udp/239.200.200.137:8512$云南电信
大理弥渡,http://106.59.2.113:55555/udp/239.200.200.160:8342$云南电信
大理文旅,http://106.59.2.113:55555/udp/239.200.201.3:8302$云南电信
大理永平,http://106.59.2.113:55555/udp/239.200.201.108:8358$云南电信
大理洱源,http://106.59.2.113:55555/udp/239.200.201.161:8374$云南电信
大理漾濞县,http://106.59.2.113:55555/udp/239.200.200.190:8516$云南电信
大理玉龙县,http://106.59.2.113:55555/udp/239.200.201.78:8244$云南电信
大理祥云,http://106.59.2.113:55555/udp/239.200.201.169:8496$云南电信
大理综合,http://106.59.2.113:55555/udp/239.200.201.4:8298$云南电信
大理鹤庆,http://106.59.2.113:55555/udp/239.200.200.161:8382$云南电信
娱乐,http://106.59.2.113:55555/udp/239.200.200.79:1234$云南电信
宝山综合,http://106.59.2.113:55555/udp/239.200.200.121:8400$云南电信
宝山腾冲县,http://106.59.2.113:55555/udp/239.200.201.72:8262$云南电信
嵩明嵩明县,http://106.59.2.113:55555/udp/239.200.200.187:8616$云南电信
德宏盈江县,http://106.59.2.113:55555/udp/239.200.201.46:8104$云南电信
德宏综合,http://106.59.2.113:55555/udp/239.200.200.122:8608$云南电信
德宏芒市,http://106.59.2.113:55555/udp/239.200.200.127:8616$云南电信
