贵州电信-组播1,#genre#
吉林卫视,http://61.159.134.237:4022/udp/238.255.2.95:5999$贵州电信
辽宁卫视,http://61.159.134.237:4022/udp/238.255.2.69:5999$贵州电信
湖南卫视,http://61.159.134.237:4022/udp/238.255.2.93:5999$贵州电信
广东卫视,http://61.159.134.237:4022/udp/238.255.2.59:5999$贵州电信
河南卫视,http://61.159.134.237:4022/udp/238.255.2.74:5999$贵州电信
河北卫视,http://61.159.134.237:4022/udp/238.255.2.77:5999$贵州电信
宁夏卫视,http://61.159.134.237:4022/udp/238.255.2.75:5999$贵州电信
甘肃卫视,http://61.159.134.237:4022/udp/238.255.2.73:5999$贵州电信
青海卫视,http://61.159.134.237:4022/udp/238.255.2.51:5999$贵州电信
新疆卫视,http://61.159.134.237:4022/udp/238.255.2.66:5999$贵州电信
西藏卫视,http://61.159.134.237:4022/udp/238.255.2.65:5999$贵州电信
兵团卫视,http://61.159.134.237:4022/udp/238.255.2.67:5999$贵州电信
金鹰卡通,http://61.159.134.237:4022/udp/238.255.2.55:5999$贵州电信
卡酷少儿,http://61.159.134.237:4022/udp/238.255.2.106:5999$贵州电信
卡酷少儿,http://61.159.134.237:4022/udp/238.255.2.80:5999$贵州电信
山东教育卫视,http://61.159.134.237:4022/udp/238.255.2.79:5999$贵州电信
北京纪实科教,http://61.159.134.237:4022/udp/238.255.2.107:5999$贵州电信
家有购物,http://61.159.134.237:4022/udp/238.255.2.10:5999$贵州电信
六盘水综合,http://61.159.134.237:4022/udp/238.255.2.115:5999$贵州电信
多彩贵州,http://61.159.134.237:4022/udp/238.255.2.206:5999$贵州电信
安顺综合,http://61.159.134.237:4022/udp/238.255.2.157:5999$贵州电信
彩条测试,http://61.159.134.237:4022/udp/238.255.2.154:5999$贵州电信
毕节-1,http://61.159.134.237:4022/udp/238.255.2.131:5999$贵州电信
毕节黔西1,http://61.159.134.237:4022/udp/238.255.2.161:5999$贵州电信
综合频道,http://61.159.134.237:4022/udp/238.255.2.153:5999$贵州电信
贵州2公共,http://61.159.134.237:4022/udp/238.255.2.2:5999$贵州电信
贵州3影视文艺,http://61.159.134.237:4022/udp/238.255.2.3:5999$贵州电信
贵州4大众生活,http://61.159.134.237:4022/udp/238.255.2.4:5999$贵州电信
贵州5生态乡村,http://61.159.134.237:4022/udp/238.255.2.5:5999$贵州电信
贵州6科教,http://61.159.134.237:4022/udp/238.255.2.6:5999$贵州电信
贵州7经济,http://61.159.134.237:4022/udp/238.255.2.9:5999$贵州电信
贵州宣传,http://61.159.134.237:4022/udp/238.255.2.163:5999$贵州电信
贵州宣传,http://61.159.134.237:4022/udp/238.255.2.141:5999$贵州电信
贵州宣传2,http://61.159.134.237:4022/udp/238.255.2.152:5999$贵州电信
贵州宣传3,http://61.159.134.237:4022/udp/238.255.2.112:5999$贵州电信
贵州宣传4,http://61.159.134.237:4022/udp/238.255.2.202:5999$贵州电信
贵州宣传5,http://61.159.134.237:4022/udp/238.255.2.142:5999$贵州电信
贵阳,http://61.159.134.237:4022/udp/238.255.2.19:5999$贵州电信
铜仁-1,http://61.159.134.237:4022/udp/238.255.2.31:5999$贵州电信
黔东南凯里,http://61.159.134.237:4022/udp/238.255.2.180:5999$贵州电信
黔东南综合,http://61.159.134.237:4022/udp/238.255.2.179:5999$贵州电信
黔东南雷山综合,http://61.159.134.237:4022/udp/238.255.2.128:5999$贵州电信
黔南,http://61.159.134.237:4022/udp/238.255.2.150:5999$贵州电信
黔南瓮安县,http://61.159.134.237:4022/udp/238.255.2.216:5999$贵州电信
黔西南综合,http://61.159.134.237:4022/udp/238.255.2.126:5999$贵州电信
CCTV1,http://61.159.134.237:4022/udp/238.255.2.218:5999$贵州电信
CETV2,http://61.159.134.237:4022/udp/238.255.2.221:5999$贵州电信
CGTN,http://61.159.134.237:4022/udp/238.255.2.178:5999$贵州电信
CGTN纪录,http://61.159.134.237:4022/udp/238.255.2.172:5999$贵州电信
中视购物,http://61.159.134.237:4022/udp/238.255.2.44:5999$贵州电信
书法频道,http://61.159.134.237:4022/udp/238.255.2.177:5999$贵州电信
环球奇观,http://61.159.134.237:4022/udp/238.255.2.43:5999$贵州电信
国学频道,http://61.159.134.237:4022/udp/238.255.2.176:5999$贵州电信
中国交通,http://61.159.134.237:4022/udp/238.255.2.220:5999$贵州电信
广西卫视,http://61.159.134.237:4022/udp/238.255.2.64:5999$贵州电信
山西卫视,http://61.159.134.237:4022/udp/238.255.2.71:5999$贵州电信
陕西卫视,http://61.159.134.237:4022/udp/238.255.2.72:5999$贵州电信
厦门卫视,http://61.159.134.237:4022/udp/238.255.2.205:5999$贵州电信
内蒙古卫视,http://61.159.134.237:4022/udp/238.255.2.53:5999$贵州电信
三沙卫视,http://61.159.134.237:4022/udp/238.255.2.203:5999$贵州电信
康巴卫视,http://61.159.134.237:4022/udp/238.255.2.140:5999$贵州电信
延边卫视,http://61.159.134.237:4022/udp/238.255.2.57:5999$贵州电信
延边卫视,http://61.159.134.237:4022/udp/238.255.2.204:5999$贵州电信
嘉佳卡通,http://61.159.134.237:4022/udp/238.255.2.62:5999$贵州电信
重庆汽摩,http://61.159.134.237:4022/udp/238.255.2.148:5999$贵州电信
CGTV法语,http://61.159.134.237:4022/udp/238.255.2.83:5999$贵州电信
中央新影中学生,http://61.159.134.237:4022/udp/238.255.2.181:5999$贵州电信
中央新影发现之旅,http://61.159.134.237:4022/udp/238.255.2.184:5999$贵州电信
中央新影老故事,http://61.159.134.237:4022/udp/238.255.2.35:5999$贵州电信
农林卫视,http://61.159.134.237:4022/udp/238.255.2.120:5999$贵州电信
安多卫视,http://61.159.134.237:4022/udp/238.255.2.189:5999$贵州电信
待确认,http://61.159.134.237:4022/udp/238.255.2.162:5999$贵州电信
西藏卫视藏语,http://61.159.134.237:4022/udp/238.255.2.23:5999$贵州电信
贵州移动电视,http://61.159.134.237:4022/udp/238.255.2.117:5999$贵州电信
贵州3影视,http://61.159.134.237:4022/udp/238.255.2.159:5999$贵州电信
贵州3影视,http://61.159.134.237:4022/udp/238.255.2.187:5999$贵州电信
