上海联通-组播1,#genre#
旅游卫视,http://139.227.112.187:8001/udp/233.18.204.102:5140$上海联通
陕西卫视,http://139.227.112.187:8001/udp/233.18.204.223:5140$上海联通
东南卫视,http://139.227.112.187:8001/udp/233.18.204.94:5140$上海联通
吉林卫视,http://139.227.112.187:8001/udp/233.18.204.108:5140$上海联通
辽宁卫视,http://139.227.112.187:8001/udp/233.18.204.96:5140$上海联通
内蒙古卫视,http://139.227.112.187:8001/udp/233.18.204.217:5140$上海联通
湖南卫视,http://139.227.112.187:8001/udp/233.18.204.86:5140$上海联通
广东卫视,http://139.227.112.187:8001/udp/233.18.204.88:5140$上海联通
河南卫视,http://139.227.112.187:8001/udp/233.18.204.105:5140$上海联通
河北卫视,http://139.227.112.187:8001/udp/233.18.204.103:5140$上海联通
宁夏卫视,http://139.227.112.187:8001/udp/233.18.204.230:5140$上海联通
甘肃卫视,http://139.227.112.187:8001/udp/233.18.204.110:5140$上海联通
青海卫视,http://139.227.112.187:8001/udp/233.18.204.112:5140$上海联通
新疆卫视,http://139.227.112.187:8001/udp/233.18.204.220:5140$上海联通
西藏卫视,http://139.227.112.187:8001/udp/233.18.204.222:5140$上海联通
兵团卫视,http://139.227.112.187:8001/udp/233.18.204.221:5140$上海联通
三沙卫视,http://139.227.112.187:8001/udp/233.18.204.172:5140$上海联通
金鹰卡通,http://139.227.112.187:8001/udp/233.18.204.113:5140$上海联通
卡酷少儿,http://139.227.112.187:8001/udp/233.18.204.109:5140$上海联通
上海都市,http://139.227.112.187:8001/udp/233.18.204.53:5140$上海联通
上海教育,http://139.227.112.187:8001/udp/233.18.204.63:5140$上海联通
第一财经,http://139.227.112.187:8001/udp/233.18.204.65:5140$上海联通
第一财经,http://139.227.112.187:8001/udp/233.18.204.59:5140$上海联通
五星体育,http://139.227.112.187:8001/udp/233.18.204.58:5140$上海联通
都市剧场,http://139.227.112.187:8001/udp/233.18.204.48:5140$上海联通
欢笑剧场,http://139.227.112.187:8001/udp/233.18.204.50:5140$上海联通
欢笑剧场,http://139.227.112.187:8001/udp/233.18.204.55:5140$上海联通
财富天下,http://139.227.112.187:8001/udp/233.18.204.231:5140$上海联通
央广购物,http://139.227.112.187:8001/udp/233.18.204.39:5140$上海联通
BesTV电影介绍,http://139.227.112.187:8001/udp/233.18.204.116:5140$上海联通
上海新闻综合,http://139.227.112.187:8001/udp/233.18.204.57:5140$上海联通
东方购物1,http://139.227.112.187:8001/udp/233.18.204.61:5140$上海联通
东方购物2,http://139.227.112.187:8001/udp/233.18.204.62:5140$上海联通
文化精品,http://139.227.112.187:8001/udp/233.18.204.186:5140$上海联通
未知节目,http://139.227.112.187:8001/udp/233.18.204.202:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.158:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.159:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.160:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.161:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.162:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.163:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.164:5140$上海联通
