山东电信-组播1,#genre#
四川卫视4K[3840x2160],http://144.0.57.58:7004/udp/239.21.2.185:5002$山东电信
湖南卫视4K[3840x2160],http://144.0.57.58:7004/udp/239.21.2.181:5002$山东电信
浙江卫视4K[3840x2160],http://144.0.57.58:7004/udp/239.21.2.182:5002$山东电信
CGTN[1920x1080],http://144.0.57.58:7004/udp/239.21.2.30:5002$山东电信
CGTN 法语[1920x1080],http://144.0.57.58:7004/udp/239.21.2.33:5002$山东电信
CGTN 西班牙[1920x1080],http://144.0.57.58:7004/udp/239.21.2.32:5002$山东电信
CGTN 俄语[1920x1080],http://144.0.57.58:7004/udp/239.21.2.35:5002$山东电信
CGTN 记录[1920x1080],http://144.0.57.58:7004/udp/239.21.2.31:5002$山东电信
CGTN 阿拉伯[1920x1080],http://144.0.57.58:7004/udp/239.21.2.34:5002$山东电信
CETV1[1920x1080],http://144.0.57.58:7004/udp/239.21.2.7:5002$山东电信
CETV2[720x576],http://144.0.57.58:7004/udp/239.21.2.8:5002$山东电信
CETV4[1920x1080],http://144.0.57.58:7004/udp/239.21.2.129:5002$山东电信
快乐垂钓[1920x1080],http://144.0.57.58:7004/udp/239.21.2.97:5002$山东电信
武术世界[1920x1080],http://144.0.57.58:7004/udp/239.21.2.96:5002$山东电信
乐游[1920x1080],http://144.0.57.58:7004/udp/239.21.2.104:5002$山东电信
金色学堂[1920x1080],http://144.0.57.58:7004/udp/239.21.2.102:5002$山东电信
法治天地[1920x1080],http://144.0.57.58:7004/udp/239.21.2.105:5002$山东电信
梨园频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.101:5002$山东电信
生活时尚[1920x1080],http://144.0.57.58:7004/udp/239.21.2.103:5002$山东电信
游戏风云[1920x1080],http://144.0.57.58:7004/udp/239.21.2.107:5002$山东电信
文物宝库[1920x1080],http://144.0.57.58:7004/udp/239.21.2.109:5002$山东电信
东方财经[1920x1080],http://144.0.57.58:7004/udp/239.21.2.108:5002$山东电信
茶频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.110:5002$山东电信
环球旅游[1920x1080],http://144.0.57.58:7004/udp/239.21.2.115:5002$山东电信
书法频道[720x576],http://144.0.57.58:7004/udp/239.21.2.111:5002$山东电信
汽摩[1920x1080],http://144.0.57.58:7004/udp/239.21.2.142:5002$山东电信
中华特产[1920x1080],http://144.0.57.58:7004/udp/239.21.2.177:5002$山东电信
中学生[1920x1080],http://144.0.57.58:7004/udp/239.21.2.176:5002$山东电信
四海钓鱼[1920x1080],http://144.0.57.58:7004/udp/239.21.2.180:5002$山东电信
中国交通[1920x1080],http://144.0.57.58:7004/udp/239.21.1.115:5002$山东电信
金鹰卡通[1920x1080],http://144.0.57.58:7004/udp/239.21.2.121:5002$山东电信
卡酷少儿[1920x1080],http://144.0.57.58:7004/udp/239.21.2.120:5002$山东电信
动漫秀场[1920x1080],http://144.0.57.58:7004/udp/239.21.2.92:5002$山东电信
优优宝贝[720x576],http://144.0.57.58:7004/udp/239.21.2.94:5002$山东电信
嘉佳卡通[720x576],http://144.0.57.58:7004/udp/239.21.2.5:5002$山东电信
新动漫[720x576],http://144.0.57.58:7004/udp/239.21.2.93:5002$山东电信
优漫卡通[720x576],http://144.0.57.58:7004/udp/239.21.1.50:5002$山东电信
临沂1[1920x1080],http://144.0.57.58:7004/udp/239.21.2.130:5002$山东电信
牟平综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.10:5002$山东电信
梁山新闻[1920x1080],http://144.0.57.58:7004/udp/239.21.2.12:5002$山东电信
安丘综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.13:5002$山东电信
牟平生活[1920x1080],http://144.0.57.58:7004/udp/239.21.2.11:5002$山东电信
菏泽2[1920x1080],http://144.0.57.58:7004/udp/239.21.2.18:5002$山东电信
济宁综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.19:5002$山东电信
济宁公共[720x576],http://144.0.57.58:7004/udp/239.21.2.20:5002$山东电信
单县综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.21:5002$山东电信
陵城综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.24:5002$山东电信
蒙阴综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.23:5002$山东电信
昌邑综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.27:5002$山东电信
未知[720x576],http://144.0.57.58:7004/udp/239.21.2.26:5002$山东电信
宁津综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.50:5002$山东电信
长岛[1920x1080],http://144.0.57.58:7004/udp/239.21.2.52:5002$山东电信
商河综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.53:5002$山东电信
潍坊综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.59:5002$山东电信
胶州综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.60:5002$山东电信
黄岛生活[1920x1080],http://144.0.57.58:7004/udp/239.21.2.58:5002$山东电信
黄岛综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.57:5002$山东电信
蓬莱综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.56:5002$山东电信
临朐综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.62:5002$山东电信
海洋综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.64:5002$山东电信
兰陵公共[1920x1080],http://144.0.57.58:7004/udp/239.21.2.63:5002$山东电信
东阿综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.61:5002$山东电信
海洋综艺[1920x1080],http://144.0.57.58:7004/udp/239.21.2.65:5002$山东电信
海洋综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.68:5002$山东电信
莒南综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.66:5002$山东电信
沂水生活[1920x1080],http://144.0.57.58:7004/udp/239.21.2.80:5002$山东电信
沂水综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.79:5002$山东电信
济宁高新[1920x1080],http://144.0.57.58:7004/udp/239.21.2.83:5002$山东电信
嘉祥综合[720x576],http://144.0.57.58:7004/udp/239.21.2.84:5002$山东电信
日照公共[720x576],http://144.0.57.58:7004/udp/239.21.2.81:5002$山东电信
潍坊公共[1920x1080],http://144.0.57.58:7004/udp/239.21.2.88:5002$山东电信
潍坊科教文化[1920x1080],http://144.0.57.58:7004/udp/239.21.2.89:5002$山东电信
海洋频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.119:5002$山东电信
崂山频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.122:5002$山东电信
临清综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.2.123:5002$山东电信
历城综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.132:5002$山东电信
潍坊高新区[1920x1080],http://144.0.57.58:7004/udp/239.21.2.131:5002$山东电信
鱼台生活[1920x1080],http://144.0.57.58:7004/udp/239.21.2.135:5002$山东电信
鱼台综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.134:5002$山东电信
岱岳[1920x1080],http://144.0.57.58:7004/udp/239.21.2.139:5002$山东电信
河东综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.136:5002$山东电信
高青综合[720x576],http://144.0.57.58:7004/udp/239.21.2.140:5002$山东电信
张店[720x576],http://144.0.57.58:7004/udp/239.21.2.138:5002$山东电信
任城-1[1920x1080],http://144.0.57.58:7004/udp/239.21.2.143:5002$山东电信
任城-2[1920x1080],http://144.0.57.58:7004/udp/239.21.2.144:5002$山东电信
招远综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.145:5002$山东电信
鄄城综合[720x576],http://144.0.57.58:7004/udp/239.21.2.141:5002$山东电信
龙口综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.146:5002$山东电信
泰山[1920x1080],http://144.0.57.58:7004/udp/239.21.2.147:5002$山东电信
武训综合频道[720x576],http://144.0.57.58:7004/udp/239.21.2.149:5002$山东电信
山东经济广播[1920x1080],http://144.0.57.58:7004/udp/239.21.2.148:5002$山东电信
周村新闻[720x576],http://144.0.57.58:7004/udp/239.21.2.150:5002$山东电信
临沭综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.154:5002$山东电信
威海新闻综合[720x576],http://144.0.57.58:7004/udp/239.21.2.155:5002$山东电信
山东交通广播[1920x1080],http://144.0.57.58:7004/udp/239.21.2.151:5002$山东电信
海洋生活[720x576],http://144.0.57.58:7004/udp/239.21.2.156:5002$山东电信
生态环境[1920x1080],http://144.0.57.58:7004/udp/239.21.2.160:5002$山东电信
求索记录[1920x1080],http://144.0.57.58:7004/udp/239.21.2.159:5002$山东电信
肥城综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.161:5002$山东电信
汶上综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.175:5002$山东电信
东昌综合[1920x1080],http://144.0.57.58:7004/udp/239.21.2.190:5002$山东电信
CCTV1[720x576],http://144.0.57.58:7004/udp/239.21.1.1:5002$山东电信
CGTN[720x576],http://144.0.57.58:7004/udp/239.21.1.10:5002$山东电信
济南文旅体育[720x576],http://144.0.57.58:7004/udp/239.21.1.65:5002$山东电信
济南新闻综合[720x576],http://144.0.57.58:7004/udp/239.21.1.62:5002$山东电信
济南生活[720x576],http://144.0.57.58:7004/udp/239.21.1.64:5002$山东电信
济南都市[720x576],http://144.0.57.58:7004/udp/239.21.1.63:5002$山东电信
青岛-2[720x576],http://144.0.57.58:7004/udp/239.21.1.70:5002$山东电信
青岛-1[720x576],http://144.0.57.58:7004/udp/239.21.1.69:5002$山东电信
济南[720x576],http://144.0.57.58:7004/udp/239.21.1.66:5002$山东电信
