海南电信-组播1,#genre#
金鹰卡通,http://223.198.241.13:4000/udp/239.253.64.148:5140$海南电信
嘉佳卡通,http://223.198.241.13:4000/udp/239.253.64.127:5140$海南电信
卡酷少儿,http://223.198.241.13:4000/udp/239.253.64.230:5140$海南电信
山东教育卫视,http://223.198.241.13:4000/udp/239.253.64.241:5140$海南电信
财富天下,http://223.198.241.13:4000/udp/239.253.64.217:5140$海南电信
睛彩竞技,http://223.198.241.13:4000/udp/239.253.64.151:5140$海南电信
睛彩广场舞,http://223.198.241.13:4000/udp/239.253.64.154:5140$海南电信
睛彩篮球,http://223.198.241.13:4000/udp/239.253.64.152:5140$海南电信
睛彩青少,http://223.198.241.13:4000/udp/239.253.64.153:5140$海南电信
古装剧场,http://223.198.241.13:4000/udp/239.253.64.221:5140$海南电信
军旅剧场,http://223.198.241.13:4000/udp/239.253.64.228:5140$海南电信
海南自贸,http://223.198.241.13:4000/udp/239.253.64.119:5140$海南电信
海南新闻,http://223.198.241.13:4000/udp/239.253.64.121:5140$海南电信
海南社会与法,http://223.198.241.13:4000/udp/239.253.64.14:5140$海南电信
海南文旅,http://223.198.241.13:4000/udp/239.253.64.122:5140$海南电信
海南少儿,http://223.198.241.13:4000/udp/239.253.64.124:5140$海南电信
海口1,http://223.198.241.13:4000/udp/239.253.64.6:5140$海南电信
海口2,http://223.198.241.13:4000/udp/239.253.64.7:5140$海南电信
海口3,http://223.198.241.13:4000/udp/239.253.64.8:5140$海南电信
三亚1,http://223.198.241.13:4000/udp/239.253.64.9:5140$海南电信
海南万宁,http://223.198.241.13:4000/udp/239.253.64.167:5140$海南电信
海南东方,http://223.198.241.13:4000/udp/239.253.64.111:5140$海南电信
海南临高,http://223.198.241.13:4000/udp/239.253.64.155:5140$海南电信
海南保亭,http://223.198.241.13:4000/udp/239.253.64.159:5140$海南电信
海南儋州,http://223.198.241.13:4000/udp/239.253.64.107:5140$海南电信
海南定安,http://223.198.241.13:4000/udp/239.253.64.110:5140$海南电信
海南屯昌,http://223.198.241.13:4000/udp/239.253.64.117:5140$海南电信
海南文昌,http://223.198.241.13:4000/udp/239.253.64.105:5140$海南电信
海南昌江,http://223.198.241.13:4000/udp/239.253.64.108:5140$海南电信
海南澄迈,http://223.198.241.13:4000/udp/239.253.64.109:5140,720x576,30
海南琼中,http://223.198.241.13:4000/udp/239.253.64.165:5140$海南电信
海南琼海,http://223.198.241.13:4000/udp/239.253.64.106:5140$海南电信
海南白沙,http://223.198.241.13:4000/udp/239.253.64.118:5140$海南电信
海南陵水,http://223.198.241.13:4000/udp/239.253.64.116:5140$海南电信
海南风景,http://223.198.241.13:4000/udp/239.253.64.166:5140$海南电信
海南风景,http://223.198.241.13:4000/udp/239.253.64.69:5140$海南电信
海南风景,http://223.198.241.13:4000/udp/239.253.64.82:5140$海南电信
海南风景,http://223.198.241.13:4000/udp/239.253.64.83:5140$海南电信
少儿动画,http://223.198.241.13:4000/udp/239.253.64.232:5140$海南电信
IPTV3,http://223.198.241.13:4000/udp/239.253.64.238:5140$海南电信
IPTV3,http://223.198.241.13:4000/udp/239.253.64.10:5140$海南电信
IPTV5,http://223.198.241.13:4000/udp/239.253.64.125:5140$海南电信
IPTV5,http://223.198.241.13:4000/udp/239.253.64.26:5140$海南电信
IPTV8,http://223.198.241.13:4000/udp/239.253.64.160:5140$海南电信
IPTV8,http://223.198.241.13:4000/udp/239.253.64.164:5140$海南电信
IPTV热播剧场,http://223.198.241.13:4000/udp/239.253.64.211:5140$海南电信
IPTV经典电影,http://223.198.241.13:4000/udp/239.253.64.227:5140$海南电信
IPTV魅力时尚,http://223.198.241.13:4000/udp/239.253.64.231:5140$海南电信
IPTV谍战剧场,http://223.198.241.13:4000/udp/239.253.64.212:5140$海南电信
IPTV相声小品,http://223.198.241.13:4000/udp/239.253.64.214:5140$海南电信
IPTV野外,http://223.198.241.13:4000/udp/239.253.64.215:5140$海南电信
IPTV法治,http://223.198.241.13:4000/udp/239.253.64.213:5140$海南电信
城市剧场,http://223.198.241.13:4000/udp/239.253.64.218:5140$海南电信
音乐现场,http://223.198.241.13:4000/udp/239.253.64.235:5140$海南电信
IPTV国学,http://223.198.241.13:4000/udp/239.253.64.222:5140$海南电信
地理,http://223.198.241.13:4000/udp/239.253.64.219:5140$海南电信
美人,http://223.198.241.13:4000/udp/239.253.64.123:5140$海南电信
解密,http://223.198.241.13:4000/udp/239.253.64.141:5140$海南电信
军事,http://223.198.241.13:4000/udp/239.253.64.229:5140$海南电信
戏曲,http://223.198.241.13:4000/udp/239.253.64.234:5140$海南电信
早教,http://223.198.241.13:4000/udp/239.253.64.236:5140$海南电信
动画,http://223.198.241.13:4000/udp/239.253.64.163:5140$海南电信
好学生,http://223.198.241.13:4000/udp/239.253.64.223:5140$海南电信
墨宝,http://223.198.241.13:4000/udp/239.253.64.158:5140$海南电信
爱生活,http://223.198.241.13:4000/udp/239.253.64.216:5140$海南电信
武术,http://223.198.241.13:4000/udp/239.253.64.170:5140$海南电信
高网,http://223.198.241.13:4000/udp/239.253.64.250:5140$海南电信
足球,http://223.198.241.13:4000/udp/239.253.64.237:5140$海南电信
武侠剧场,http://223.198.241.13:4000/udp/239.253.64.254:5140$海南电信
喜剧影院,http://223.198.241.13:4000/udp/239.253.64.233:5140$海南电信
动作影院,http://223.198.241.13:4000/udp/239.253.64.220:5140$海南电信
家庭影院,http://223.198.241.13:4000/udp/239.253.64.225:5140$海南电信
爱上4K,http://223.198.241.13:4000/udp/239.253.64.49:5140$海南电信
电信宣传,http://223.198.241.13:4000/udp/239.253.64.80:5140$海南电信
百事通,http://223.198.241.13:4000/udp/239.253.64.189:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.184:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.185:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.186:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.187:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.188:5140$海南电信
百视通,http://223.198.241.13:4000/udp/239.253.64.190:5140$海南电信
